"Fold","Specificity","Sensitivity","Thresholds"
"Fold01",0,1,-Inf
"Fold01",0.00389105058365759,1,0.00110931025786447
"Fold01",0.00778210116731518,1,0.00117228745709716
"Fold01",0.0116731517509728,1,0.00119354219825024
"Fold01",0.0155642023346304,1,0.00123779259627402
"Fold01",0.0194552529182879,1,0.00130693198708292
"Fold01",0.0233463035019455,1,0.00136485307119924
"Fold01",0.0272373540856031,1,0.00138606485880803
"Fold01",0.0311284046692607,1,0.00141904952506807
"Fold01",0.0350194552529183,1,0.00150124338303034
"Fold01",0.0389105058365759,1,0.00155908419588918
"Fold01",0.0428015564202335,1,0.00156560232717512
"Fold01",0.046692607003891,1,0.00156863296544636
"Fold01",0.0505836575875486,1,0.00157269689927754
"Fold01",0.0544747081712062,1,0.00158601432311359
"Fold01",0.0583657587548638,1,0.00162144604409878
"Fold01",0.0622568093385214,1,0.00164872041543911
"Fold01",0.066147859922179,1,0.00166180099995124
"Fold01",0.0700389105058366,1,0.00168136435658697
"Fold01",0.0778210116731518,1,0.00169296459716458
"Fold01",0.0817120622568093,1,0.00170040300779299
"Fold01",0.0856031128404669,1,0.00171030909694156
"Fold01",0.0894941634241245,1,0.00172910054528376
"Fold01",0.0933852140077821,1,0.00174907039845127
"Fold01",0.0972762645914397,1,0.00175576879882527
"Fold01",0.101167315175097,1,0.00177853214695238
"Fold01",0.105058365758755,1,0.0018188935257227
"Fold01",0.108949416342412,1,0.00184945932733713
"Fold01",0.11284046692607,1,0.00186151922317598
"Fold01",0.116731517509728,1,0.0018734241200276
"Fold01",0.120622568093385,1,0.00188520258169504
"Fold01",0.124513618677043,1,0.00189378416825876
"Fold01",0.1284046692607,1,0.00192841801412824
"Fold01",0.132295719844358,1,0.00197061094147019
"Fold01",0.136186770428016,1,0.00198998729373917
"Fold01",0.140077821011673,1,0.00200803551889646
"Fold01",0.143968871595331,1,0.00203114041303512
"Fold01",0.147859922178988,1,0.00205166041200011
"Fold01",0.151750972762646,1,0.00206883489028728
"Fold01",0.155642023346304,1,0.00209851633435342
"Fold01",0.159533073929961,1,0.00213426610253349
"Fold01",0.163424124513619,1,0.00215190547682022
"Fold01",0.167315175097276,1,0.00215845452902149
"Fold01",0.171206225680934,1,0.00216042959929629
"Fold01",0.175097276264591,1,0.00216191671366144
"Fold01",0.178988326848249,1,0.00216237247475246
"Fold01",0.182879377431907,1,0.00216777978847207
"Fold01",0.186770428015564,1,0.0021961532103369
"Fold01",0.190661478599222,1,0.00222756991668001
"Fold01",0.194552529182879,1,0.00223670911143762
"Fold01",0.198443579766537,1,0.00224183365440581
"Fold01",0.202334630350195,1,0.0022514542432178
"Fold01",0.206225680933852,1,0.00226113780924957
"Fold01",0.21011673151751,1,0.00228461857372042
"Fold01",0.214007782101167,1,0.00230849843994206
"Fold01",0.217898832684825,1,0.00232322022074622
"Fold01",0.221789883268482,1,0.002334126403319
"Fold01",0.22568093385214,1,0.00235949024215406
"Fold01",0.229571984435798,1,0.00238457572713671
"Fold01",0.233463035019455,1,0.00238763761227183
"Fold01",0.237354085603113,1,0.0024073096355115
"Fold01",0.24124513618677,1,0.00242799683225836
"Fold01",0.245136186770428,1,0.00243271136845688
"Fold01",0.249027237354086,1,0.00243739132107489
"Fold01",0.252918287937743,1,0.00244183902195549
"Fold01",0.256809338521401,1,0.00245717882784831
"Fold01",0.260700389105058,1,0.00248764677777627
"Fold01",0.264591439688716,1,0.00252911758677836
"Fold01",0.268482490272374,1,0.00256165900975154
"Fold01",0.272373540856031,1,0.00256923416151749
"Fold01",0.276264591439689,1,0.00257063787329394
"Fold01",0.280155642023346,1,0.00257732807100183
"Fold01",0.284046692607004,1,0.00258558874076822
"Fold01",0.287937743190661,1,0.00261034581649752
"Fold01",0.291828793774319,1,0.00263627381063271
"Fold01",0.295719844357977,1,0.00265101012234642
"Fold01",0.299610894941634,1,0.00266771901878273
"Fold01",0.303501945525292,1,0.00267791069606263
"Fold01",0.307392996108949,1,0.0026848088121271
"Fold01",0.311284046692607,1,0.00269336423799932
"Fold01",0.315175097276265,1,0.00272081641248829
"Fold01",0.319066147859922,1,0.00274697182225888
"Fold01",0.32295719844358,1,0.00276423297609349
"Fold01",0.326848249027237,1,0.00277968255206257
"Fold01",0.330739299610895,1,0.00278462245185932
"Fold01",0.334630350194553,1,0.00278843126080883
"Fold01",0.33852140077821,1,0.00279677736061989
"Fold01",0.342412451361868,1,0.00280497618157034
"Fold01",0.350194552529183,1,0.00281728069825738
"Fold01",0.35408560311284,1,0.00283330489061663
"Fold01",0.357976653696498,1,0.00284804496727644
"Fold01",0.361867704280156,1,0.00285998224715422
"Fold01",0.365758754863813,1,0.00288613329515231
"Fold01",0.369649805447471,1,0.00292047433043285
"Fold01",0.373540856031128,1,0.00293600015215661
"Fold01",0.377431906614786,1,0.00295765787822848
"Fold01",0.381322957198444,1,0.00302264909200046
"Fold01",0.385214007782101,1,0.00308013018226993
"Fold01",0.389105058365759,1,0.00309045902811371
"Fold01",0.392996108949416,1,0.0031092505991813
"Fold01",0.396887159533074,1,0.00313210357948598
"Fold01",0.400778210116732,1,0.00315923039584678
"Fold01",0.404669260700389,1,0.00319982983062725
"Fold01",0.408560311284047,1,0.00321906941606584
"Fold01",0.412451361867704,1,0.00325131622588672
"Fold01",0.416342412451362,1,0.00329377167152031
"Fold01",0.420233463035019,1,0.00332168453182757
"Fold01",0.424124513618677,1,0.00336888039695469
"Fold01",0.428015564202335,1,0.00340776061563961
"Fold01",0.431906614785992,1,0.00342221740866879
