"threshold","specificity","sensitivity"
-Inf,0,1
0.00125606500641008,0.0015600624024961,1
0.00129298113491198,0.0031201248049922,1
0.00132068255047843,0.0046801872074883,1
0.00133158248273893,0.0062402496099844,1
0.00137539485478876,0.0078003120124805,1
0.00142071469173434,0.0093603744149766,1
0.00143801939901508,0.0109204368174727,1
0.00150534549357182,0.0124804992199688,1
0.00156368784638602,0.0140405616224649,1
0.00156970198902171,0.015600624024961,1
0.00157838207729674,0.0171606864274571,1
0.00159634154490898,0.0187207488299532,1
0.00161911391517019,0.0202808112324493,1
0.00163546332716166,0.0218408736349454,1
0.00164778209516081,0.0234009360374415,1
0.00166216377761527,0.0249609984399376,1
0.00167696675381706,0.0265210608424337,1
0.00168344548970152,0.0280811232449298,1
0.00168826905679958,0.0296411856474259,1
0.00169663661615348,0.031201248049922,1
0.00170510844152942,0.0327613104524181,1
0.00171014289064278,0.0343213728549142,1
0.00171179700838583,0.0358814352574103,1
0.00171647077041873,0.0374414976599064,1
0.00172058703577633,0.0390015600624025,1
0.00172611911853103,0.0405616224648986,1
0.00173194193929692,0.0421216848673947,1
0.00173647961323904,0.0436817472698908,1
0.00174609069306122,0.0452418096723869,1
0.00175555537248158,0.046801872074883,1
0.00175885805173302,0.0483619344773791,1
0.00176324715391527,0.0499219968798752,1
0.00176812527321456,0.0514820592823713,1
0.00177507337509562,0.0530421216848674,1
0.00178407504646953,0.0546021840873635,1
0.00178733956654337,0.0561622464898596,1
0.00178948087500901,0.0577223088923557,1
0.00179182894409062,0.0592823712948518,1
0.00179321287783651,0.0608424336973479,1
0.0017945273248116,0.062402496099844,1
0.00179692288515102,0.0639625585023401,1
0.00180614350668965,0.0655226209048362,1
0.00181504691221413,0.0670826833073323,1
0.001819736993166,0.0686427457098284,1
0.00182425454120581,0.0702028081123245,1
0.00182543227283264,0.0717628705148206,1
0.00182950560052402,0.0733229329173167,1
0.00183684348208973,0.0748829953198128,1
0.00184095340424949,0.0764430577223089,1
0.00184266329893836,0.078003120124805,1
0.00184498186250156,0.0795631825273011,1
0.00184835355135164,0.0811232449297972,1
0.00185332212205164,0.0826833073322933,1
0.00185670339651926,0.0842433697347894,1
0.00185795470633602,0.0858034321372855,1
0.00185964689123115,0.0873634945397816,1
0.00186181524850588,0.0889235569422777,1
0.00186340365218048,0.0904836193447738,1
0.00186489672865356,0.0920436817472699,1
0.00186914057778422,0.093603744149766,1
0.00187217835284482,0.0951638065522621,1
0.00187262201400042,0.0967238689547582,1
0.00187459968262727,0.0982839313572543,1
0.00187751566327239,0.0998439937597504,1
0.00188049547218814,0.101404056162246,1
0.0018839125646439,0.102964118564743,1
0.00188664371194709,0.104524180967239,1
0.00188869360569977,0.106084243369735,1
0.00189303878143693,0.107644305772231,1
0.00189888771910498,0.109204368174727,1
0.00190185328070419,0.110764430577223,1
0.00190460570944677,0.112324492979719,1
0.00190914584492117,0.113884555382215,1
0.00192003111301634,0.115444617784711,1
0.00193112527547515,0.117004680187207,1
0.00193714416762393,0.118564742589704,1
0.00194554068155909,0.1201248049922,1
0.00195501096832166,0.121684867394696,1
0.00196360822015364,0.123244929797192,1
0.00196794771776946,0.124804992199688,1
0.00197036224571333,0.126365054602184,1
0.00197543964741355,0.12792511700468,1
0.00197879616950566,0.129485179407176,1
0.00197912975536595,0.131045241809672,1
