"Threshold","Recall","Precision","F1"
-Inf,1,0.113416320885201,0.203726708074534
0.00125606500641008,1,0.113573407202216,0.203980099502488
0.00129298113491198,1,0.11373092926491,0.204234122042341
0.00132068255047843,1,0.113888888888889,0.204488778054863
0.00133158248273893,1,0.114047287899861,0.204744069912609
0.00137539485478876,1,0.114206128133705,0.205
0.00142071469173434,1,0.114365411436541,0.205256570713392
0.00143801939901508,1,0.114525139664804,0.205513784461153
0.00150534549357182,1,0.114685314685315,0.205771643663739
0.00156368784638602,1,0.11484593837535,0.206030150753769
0.00156970198902171,1,0.115007012622721,0.206289308176101
0.00157838207729674,1,0.115168539325843,0.206549118387909
0.00159634154490898,1,0.115330520393812,0.206809583858764
0.00161911391517019,1,0.115492957746479,0.207070707070707
0.00163546332716166,1,0.115655853314528,0.207332490518331
0.00164778209516081,1,0.115819209039548,0.207594936708861
0.00166216377761527,1,0.115983026874116,0.207858048162231
0.00167696675381706,1,0.11614730878187,0.208121827411168
0.00168344548970152,1,0.116312056737589,0.208386277001271
0.00168826905679958,1,0.116477272727273,0.208651399491094
0.00169663661615348,1,0.116642958748222,0.208917197452229
0.00170510844152942,1,0.116809116809117,0.209183673469388
0.00171014289064278,1,0.1169757489301,0.209450830140485
0.00171179700838583,1,0.117142857142857,0.209718670076726
0.00171647077041873,1,0.117310443490701,0.209987195902689
0.00172058703577633,1,0.117478510028653,0.21025641025641
0.00172611911853103,1,0.117647058823529,0.210526315789474
0.00173194193929692,1,0.117816091954023,0.210796915167095
0.00173647961323904,1,0.117985611510791,0.211068211068211
0.00174609069306122,1,0.118155619596542,0.211340206185567
0.00175555537248158,1,0.118326118326118,0.211612903225806
0.00175885805173302,1,0.11849710982659,0.211886304909561
0.00176324715391527,1,0.118668596237337,0.212160413971539
0.00176812527321456,1,0.118840579710145,0.212435233160622
0.00177507337509562,1,0.119013062409289,0.212710765239948
0.00178407504646953,1,0.119186046511628,0.212987012987013
0.00178733956654337,1,0.119359534206696,0.213263979193758
0.00178948087500901,1,0.119533527696793,0.213541666666667
0.00179182894409062,1,0.11970802919708,0.213820078226858
0.00179321287783651,1,0.119883040935673,0.214099216710183
0.0017945273248116,1,0.120058565153734,0.21437908496732
0.00179692288515102,1,0.120234604105572,0.214659685863874
0.00180614350668965,1,0.120411160058737,0.214941022280472
0.00181504691221413,1,0.120588235294118,0.215223097112861
0.001819736993166,1,0.120765832106038,0.215505913272011
0.00182425454120581,1,0.12094395280236,0.21578947368421
0.00182543227283264,1,0.121122599704579,0.216073781291173
0.00182950560052402,1,0.121301775147929,0.216358839050132
0.00183684348208973,1,0.121481481481481,0.21664464993395
0.00184095340424949,1,0.121661721068249,0.216931216931217
0.00184266329893836,1,0.12184249628529,0.217218543046358
0.00184498186250156,1,0.12202380952381,0.217506631299735
0.00184835355135164,1,0.12220566318927,0.217795484727756
0.00185332212205164,1,0.122388059701493,0.218085106382979
0.00185670339651926,1,0.122571001494768,0.218375499334221
0.00185795470633602,1,0.122754491017964,0.218666666666667
0.00185964689123115,1,0.122938530734633,0.218958611481976
0.00186181524850588,1,0.123123123123123,0.219251336898396
0.00186340365218048,1,0.123308270676692,0.21954484605087
0.00186489672865356,1,0.123493975903614,0.219839142091153
0.00186914057778422,1,0.1236802413273,0.220134228187919
0.00187217835284482,1,0.123867069486405,0.220430107526882
0.00187262201400042,1,0.124054462934947,0.220726783310902
0.00187459968262727,1,0.124242424242424,0.221024258760108
0.00187751566327239,1,0.12443095599393,0.221322537112011
0.00188049547218814,1,0.124620060790274,0.221621621621622
0.0018839125646439,1,0.124809741248097,0.22192151556157
0.00188664371194709,1,0.125,0.222222222222222
0.00188869360569977,1,0.125190839694656,0.222523744911805
0.00189303878143693,1,0.125382262996942,0.222826086956522
0.00189888771910498,1,0.125574272588055,0.22312925170068
0.00190185328070419,1,0.125766871165644,0.223433242506812
0.00190460570944677,1,0.125960061443932,0.223738062755798
0.00190914584492117,1,0.126153846153846,0.224043715846995
0.00192003111301634,1,0.126348228043143,0.224350205198358
0.00193112527547515,1,0.126543209876543,0.224657534246575
0.00193714416762393,1,0.126738794435858,0.224965706447188
0.00194554068155909,1,0.126934984520124,0.225274725274725
0.00195501096832166,1,0.127131782945736,0.225584594222834
0.00196360822015364,1,0.127329192546584,0.225895316804408
0.00196794771776946,1,0.127527216174184,0.226206896551724
0.00197036224571333,1,0.127725856697819,0.226519337016575
0.00197543964741355,1,0.12792511700468,0.226832641770401
0.00197879616950566,1,0.128125,0.227146814404432
0.00197912975536595,1,0.128325508607199,0.22746185852982
0.00198035267057146,1,0.128526645768025,0.227777777777778
0.00198206639647548,1,0.1287284144427,0.228094575799722
0.00198298184051851,1,0.128930817610063,0.228412256267409
0.00198408621562188,1,0.129133858267717,0.228730822873082
0.00198488798507226,1,0.129337539432177,0.229050279329609
0.00198935380887958,1,0.129541864139021,0.229370629370629
0.00199503165449994,1,0.129746835443038,0.2296918767507
0.00199656070682826,1,0.129952456418384,0.230014025245442
0.00199687590643209,1,0.13015873015873,0.230337078651685
0.00200048767573176,1,0.130365659777424,0.230661040787623
0.00200738388204598,1,0.130573248407643,0.230985915492958
0.00201263901313172,1,0.130781499202552,0.231311706629055
0.00201675952432415,1,0.130990415335463,0.231638418079096
0.00202067137956962,1,0.1312,0.231966053748232
0.00202376064266704,1,0.131410256410256,0.232294617563739
0.00202754791277804,1,0.131621187800963,0.232624113475177
0.00203148960761489,1,0.131832797427653,0.232954545454545
0.00203424356986649,1,0.132045088566828,0.233285917496444
