"Threshold","Recall","Precision"
-Inf,1,0.113416320885201
0.00125606500641008,1,0.113573407202216
0.00129298113491198,1,0.11373092926491
0.00132068255047843,1,0.113888888888889
0.00133158248273893,1,0.114047287899861
0.00137539485478876,1,0.114206128133705
0.00142071469173434,1,0.114365411436541
0.00143801939901508,1,0.114525139664804
0.00150534549357182,1,0.114685314685315
0.00156368784638602,1,0.11484593837535
0.00156970198902171,1,0.115007012622721
0.00157838207729674,1,0.115168539325843
0.00159634154490898,1,0.115330520393812
0.00161911391517019,1,0.115492957746479
0.00163546332716166,1,0.115655853314528
0.00164778209516081,1,0.115819209039548
0.00166216377761527,1,0.115983026874116
0.00167696675381706,1,0.11614730878187
0.00168344548970152,1,0.116312056737589
0.00168826905679958,1,0.116477272727273
0.00169663661615348,1,0.116642958748222
0.00170510844152942,1,0.116809116809117
0.00171014289064278,1,0.1169757489301
0.00171179700838583,1,0.117142857142857
0.00171647077041873,1,0.117310443490701
0.00172058703577633,1,0.117478510028653
0.00172611911853103,1,0.117647058823529
0.00173194193929692,1,0.117816091954023
0.00173647961323904,1,0.117985611510791
0.00174609069306122,1,0.118155619596542
0.00175555537248158,1,0.118326118326118
0.00175885805173302,1,0.11849710982659
0.00176324715391527,1,0.118668596237337
0.00176812527321456,1,0.118840579710145
0.00177507337509562,1,0.119013062409289
0.00178407504646953,1,0.119186046511628
0.00178733956654337,1,0.119359534206696
0.00178948087500901,1,0.119533527696793
0.00179182894409062,1,0.11970802919708
0.00179321287783651,1,0.119883040935673
0.0017945273248116,1,0.120058565153734
0.00179692288515102,1,0.120234604105572
0.00180614350668965,1,0.120411160058737
0.00181504691221413,1,0.120588235294118
0.001819736993166,1,0.120765832106038
0.00182425454120581,1,0.12094395280236
0.00182543227283264,1,0.121122599704579
0.00182950560052402,1,0.121301775147929
0.00183684348208973,1,0.121481481481481
0.00184095340424949,1,0.121661721068249
0.00184266329893836,1,0.12184249628529
0.00184498186250156,1,0.12202380952381
0.00184835355135164,1,0.12220566318927
0.00185332212205164,1,0.122388059701493
0.00185670339651926,1,0.122571001494768
0.00185795470633602,1,0.122754491017964
0.00185964689123115,1,0.122938530734633
0.00186181524850588,1,0.123123123123123
0.00186340365218048,1,0.123308270676692
0.00186489672865356,1,0.123493975903614
0.00186914057778422,1,0.1236802413273
0.00187217835284482,1,0.123867069486405
0.00187262201400042,1,0.124054462934947
0.00187459968262727,1,0.124242424242424
0.00187751566327239,1,0.12443095599393
0.00188049547218814,1,0.124620060790274
0.0018839125646439,1,0.124809741248097
0.00188664371194709,1,0.125
0.00188869360569977,1,0.125190839694656
0.00189303878143693,1,0.125382262996942
0.00189888771910498,1,0.125574272588055
0.00190185328070419,1,0.125766871165644
0.00190460570944677,1,0.125960061443932
0.00190914584492117,1,0.126153846153846
0.00192003111301634,1,0.126348228043143
0.00193112527547515,1,0.126543209876543
0.00193714416762393,1,0.126738794435858
0.00194554068155909,1,0.126934984520124
0.00195501096832166,1,0.127131782945736
0.00196360822015364,1,0.127329192546584
0.00196794771776946,1,0.127527216174184
0.00197036224571333,1,0.127725856697819
0.00197543964741355,1,0.12792511700468
0.00197879616950566,1,0.128125
0.00197912975536595,1,0.128325508607199
0.00198035267057146,1,0.128526645768025
0.00198206639647548,1,0.1287284144427
0.00198298184051851,1,0.128930817610063
0.00198408621562188,1,0.129133858267717
0.00198488798507226,1,0.129337539432177
0.00198935380887958,1,0.129541864139021
0.00199503165449994,1,0.129746835443038
0.00199656070682826,1,0.129952456418384
0.00199687590643209,1,0.13015873015873
0.00200048767573176,1,0.130365659777424
0.00200738388204598,1,0.130573248407643
0.00201263901313172,1,0.130781499202552
0.00201675952432415,1,0.130990415335463
0.00202067137956962,1,0.1312
0.00202376064266704,1,0.131410256410256
0.00202754791277804,1,0.131621187800963
0.00203148960761489,1,0.131832797427653
0.00203424356986649,1,0.132045088566828
0.00203556360468049,1,0.132258064516129
0.00203653645596244,1,0.132471728594507
0.00203927195340001,1,0.132686084142395
0.00204320022840644,1,0.13290113452188
0.0020455717518755,1,0.133116883116883
0.00204584859526172,1,0.133333333333333
0.0020466269177442,1,0.133550488599349
0.00204815627652384,1,0.133768352365416
0.00205133318041116,1,0.133986928104575
0.0020539630717973,1,0.134206219312602
0.0020550916041018,1,0.134426229508197
0.00205841819991124,1,0.134646962233169
0.00206191431172656,1,0.134868421052632
0.0020646536520242,1,0.135090609555189
0.0020684319763355,1,0.135313531353135
0.00207130695426545,1,0.135537190082645
0.00207315878475345,1,0.135761589403974
0.00207515777397911,1,0.135986733001658
0.0020784864856996,1,0.136212624584718
0.002088614395711,1,0.136439267886855
0.00209644180329024,1,0.136666666666667
0.00209727915619176,1,0.136894824707846
0.00209888518689287,1,0.137123745819398
0.0020999731783039,1,0.137353433835846
0.00210052685475447,1,0.13758389261745
0.00210385849495214,1,0.13781512605042
0.00210948666761462,1,0.138047138047138
0.00211277230848945,1,0.138279932546374
0.00211350623953182,1,0.138513513513514
0.00211427826425347,1,0.138747884940778
0.00211909760988192,1,0.138983050847458
0.00212401977398382,1,0.139219015280136
0.00212480486965627,1,0.139455782312925
0.00212498561889005,1,0.1396933560477
0.00212521959509762,1,0.139931740614334
0.00212642101803962,1,0.14017094017094
0.00213108927468239,1,0.14041095890411
0.002135856549808,1,0.14065180102916
0.00213769934707513,1,0.140893470790378
0.00213978613162006,1,0.141135972461274
0.00214185989322708,1,0.141379310344828
0.00214315953730601,1,0.141623488773748
0.00214399143948254,1,0.141868512110727
0.00214516531430336,1,0.1421143847487
